gene,description,colors
107282861,transmembrane protein 221,brown
107282863,hyaluronan and proteoglycan link protein 4,green
107282864,acetoacetyl-CoA synthetase,turquoise
107282865,cold inducible RNA binding protein,grey60
107282866,chromosome unknown open reading frame human C19orf24,brown
107282867,tight junction protein 3,yellow
107282868,mucin-16-like,magenta
107282869,follistatin like 3,black
107282870,CREB regulated transcription coactivator 1,brown
107282871,coatomer protein complex subunit epsilon,salmon
107282872,SURP and G-patch domain containing 2,turquoise
107282873,solute carrier family 25 member 42,turquoise
107282874,serine/threonine kinase 11,yellow
107282875,midnolin,blue
107282876,ATP synthase H+ transporting mitochondrial F1 complex delta subunit,brown
107282877,NADH:ubiquinone oxidoreductase core subunit S7,brown
107282878,guanidinoacetate N-methyltransferase,blue
107282879,ribosomal protein S15,brown
107282880,peptidase (mitochondrial processing) beta,turquoise
107282881,amyloid beta precursor protein binding family A member 3,yellow
107282882,mitochondrial ribosomal protein L54,turquoise
107282883,chromosome unknown open reading frame human C19orf25,turquoise
107282884,ubiquitin A-52 residue ribosomal protein fusion product 1,lightgreen
107282885,chromosome unknown open reading frame human C19orf60,turquoise
107282886,ceramide synthase 1,red
107282887,DEAD-box helicase 49,yellow
107282888,armadillo repeat containing 6,turquoise
107282889,transmembrane protein 161A,red
107282890,BLOC-1 related complex subunit 8,lightgreen
107282891,regulatory factor X associated ankyrin containing protein,turquoise
107282892,nuclear receptor 2C2 associated protein,orange
107282893,homeobox protein Meis2-like,tan
107282894,homeobox protein Meis1,turquoise
107282895,protein phosphatase 2C like domain containing 1,green
107282896,potassium voltage-gated channel subfamily H member 8,midnightblue
107282898,vitelline membrane outer layer protein 1 homolog,pink
107282899,shugoshin-like 1 (S. pombe),cyan
107282900,lysine acetyltransferase 2B,lightcyan
107282901,RAB5A member RAS oncogene family,lightcyan
107282902,EF-hand domain family member B,green
107282903,SATB homeobox 1,darkorange
107282904,TBC1 domain family member 5,lightcyan
107282905,phospholipase C like 2,red
107282906,raftlin lipid raft linker 1,darkorange
107282907,oxidoreductase NAD-binding domain containing 1,lightcyan
107282908,diphthamide biosynthesis 3,lightcyan
107282909,biotinidase,turquoise
107282910,2-hydroxyacyl-CoA lyase 1,turquoise
107282911,ankyrin repeat domain 28,lightcyan
107282912,uncharacterized LOC107282912,darkorange
107282914,collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase,turquoise
107282915,sulfide quinone reductase-like (yeast),darkred
107282916,myotubularin related protein 8,yellow
107282917,vascular endothelial growth factor receptor kdr-like,turquoise
107282919,pre-mRNA 3'-end-processing factor FIP1-like,magenta
107282920,ligand of Numb protein X 2-like,blue
107282921,ras-like protein family member 11A-like,pink
107282922,ubiquitin carboxyl-terminal hydrolase 12-like,blue
107282924,wiskott-Aldrich syndrome protein family member 3-like,greenyellow
107282925,KIAA2022 ortholog,purple
107282926,cytoplasmic polyadenylation element-binding protein 3,yellow
107282927,uracil phosphoribosyltransferase homolog,brown
107282929,ectodysplasin A,blue
107282930,ankyrin repeat and SOCS box containing 12,red
107282931,solute carrier family 16 member 2 (thyroid hormone transporter),brown
107282932,ring finger protein LIM domain interacting,brown
107282933,ATP binding cassette subfamily B member 7,yellow
107282934,chromosome unknown open reading frame human C8orf48,green
107282935,APC membrane recruitment protein 1,red
107282936,Cdc42 guanine nucleotide exchange factor 9,black
107282937,RNA/RNP complex-1-interacting phosphatase-like,green
107282938,uncharacterized LOC107282938,turquoise
107282939,cysteine rich hydrophobic domain 1,brown
107282940,zinc finger DHHC-type containing 15,turquoise
107282941,cadherin-18-like,red
107282942,ATP synthase subunit a-like,black
107282944,cadherin-18,green
107282945,cadherin-12,blue
107282946,cadherin 10,blue
107282947,coiled-coil and C2 domain-containing protein 2A-like,green
107282948,transcription factor TFIIIB component B'' homolog,greenyellow
107282949,uncharacterized protein K02A2.6-like,greenyellow
107282950,leucine rich repeat containing 72,cyan
107282951,aryl hydrocarbon receptor,darkorange
107282952,histone deacetylase 9,green
107282955,integrin subunit beta 8,yellow
107282956,cell division cycle associated 7 like,black
107282957,mesenchyme homeobox 2,red
107282958,coiled-coil and C2 domain containing 2B,red
107282959,sclerostin domain containing 1,black
107282960,ankyrin repeat and MYND domain containing 2,darkorange
107282961,basic leucine zipper and W2 domains 2,darkorange
107282962,tetraspanin 13,turquoise
107282963,anterior gradient 2 protein disulphide isomerase family member,pink
107282964,anterior gradient 3 protein disulphide isomerase family member,magenta
107282965,sorting nexin 13,lightcyan
107282966,TWIST neighbor,lightcyan
107282967,metastasis associated in colon cancer 1,lightcyan
107282968,Sp4 transcription factor,blue
107282969,cyclin J,blue
107282970,dynein axonemal heavy chain 11,pink
107282971,Rap guanine nucleotide exchange factor 5,pink
107282972,isoprenoid synthase domain containing,saddlebrown
107282976,protocadherin 9,blue
107282977,phosphatase and actin regulator 1-like,darkred
107282978,B-TFIID TATA-box binding protein associated factor 1,brown
107282979,human immunodeficiency virus type I enhancer binding protein 1,yellow
107282981,neural precursor cell expressed developmentally down-regulated 9,yellow
107282982,ELOVL fatty acid elongase 2,brown
107282985,glucosaminyl (N-acetyl) transferase 2 I-branching enzyme (I blood group),darkred
107282986,chromodomain protein Y-like,turquoise
107282987,male germ cell associated kinase,green
107282988,transmembrane protein 14C,lightgreen
107282989,zinc finger protein 518A,yellow
107282990,transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha),darkgrey
107282991,solute carrier family 35 member B3,turquoise
107282992,eukaryotic translation elongation factor 1 epsilon 1,brown
107282993,biogenesis of lysosomal organelles complex 1 subunit 5,blue
107282994,thioredoxin domain containing 5 (endoplasmic reticulum),turquoise
107282995,bone morphogenetic protein 6,brown
107282996,oligosaccharyltransferase complex subunit (non-catalytic),turquoise
107282997,desmoplakin,blue
107282998,RIO kinase 1,grey60
107282999,hemoglobin subunit alpha-like,turquoise
107283000,B-cell linker,blue
107283001,signal sequence receptor alpha,turquoise
107283002,uncharacterized LOC107283002,turquoise
107283003,ras responsive element binding protein 1,turquoise
107283004,uncharacterized LOC107283004,turquoise
107283005,lymphocyte antigen 86,darkturquoise
107283006,coagulation factor XIII A chain,blue
107283007,phenylalanyl-tRNA synthetase 2 mitochondrial,turquoise
107283008,LYR motif containing 4,brown
107283009,ribonuclease P/MRP 40kDa subunit,darkred
107283010,uncharacterized LOC107283010,pink
107283011,endothelin 1,pink
107283012,transmembrane protein 170B,turquoise
107283013,small integral membrane protein 13,black
107283014,neuritin 1,yellow
107283015,family with sequence similarity 151 member A,blue
107283016,single stranded DNA binding protein 3,turquoise
107283017,CUB domain containing protein 2,greenyellow
107283018,deiodinase iodothyronine type I,magenta
107283021,family with sequence similarity 159 member A,darkturquoise
107283023,glutathione peroxidase 7,tan
107283024,calreticulin-like,brown
107283025,tetratricopeptide repeat domain 39A,turquoise
107283027,acyl-CoA thioesterase 11,magenta
107283029,mitochondrial ribosomal protein L37,orange
107283030,NADH-cytochrome b5 reductase-like,purple
107283031,transcription elongation factor A N-terminal and central domain containing 2,grey60
107283032,transmembrane protein 59,turquoise
107283033,leucine rich repeat containing 42,brown
107283034,low density lipoprotein receptor class A domain containing 1,pink
107283035,heat shock protein family B (small) member 11,green
107283036,Yip1 domain family member 1,turquoise
107283037,proline-serine-threonine phosphatase-interacting protein 2-like,blue
107283038,NDC1 transmembrane nucleoporin,black
107283039,GLIS family zinc finger 1,midnightblue
107283040,LDL receptor related protein 8,magenta
107283041,mago homolog exon junction complex core component,grey60
107283042,chromosome unknown open reading frame human C1orf123,turquoise
107283043,podocan,green
107283044,sterol carrier protein 2,pink
107283045,enoyl-CoA hydratase domain containing 2,black
107283046,protein zyg-11 homolog B-like,blue
107283048,protein zyg-11 homolog B,turquoise
107283049,terminal uridylyltransferase 4-like,brown
107283050,pre-mRNA processing factor 38A,grey60
107283051,terminal uridylyltransferase 4-like,brown
107283052,coiled-coil and C2 domain containing 1B,yellow
107283053,zinc finger FYVE-type containing 9,black
107283054,basic transcription factor 3-like 4,purple
107283055,thioredoxin domain containing 12 (endoplasmic reticulum),turquoise
107283056,epoxide hydrolase 4,midnightblue
107283057,nardilysin convertase,turquoise
107283058,oxysterol binding protein like 9,pink
107283059,epidermal growth factor receptor pathway substrate 15,salmon
107283060,ring finger protein 11,brown
107283061,Fas associated factor 1,brown
107283062,ELAV like neuron-specific RNA binding protein 4,black
107283064,WD repeat domain 92,green
107283065,cytosolic carboxypeptidase 6-like,pink
107283066,carnitine palmitoyltransferase 2,turquoise
107283067,solute carrier family 1 (glutamate transporter) member 7,blue
107283068,cytochrome c oxidase assembly factor 7,brown
107283069,origin recognition complex subunit 1,pink
107283070,RAB3B member RAS oncogene family,black
107283071,cyclin-dependent kinase inhibitor 2C,red
107283072,zinc finger protein 581-like,cyan
107283073,coiled-coil domain-containing protein 106-like,black
107283074,splicing factor U2AF 65 kDa subunit-like,lightcyan
107283075,beaded filament structural protein 1,greenyellow
107283076,sulfotransferase family 2B member 1,black
107283078,MEF2 activating motif and SAP domain containing transcriptional regulator,red
107283079,interleukin 11,midnightblue
107283080,family with sequence similarity 83 member E,green
107283081,T-cell-interacting activating receptor on myeloid cells protein 1-like,lightcyan
107283084,zinc finger protein 865-like,lightcyan
107283085,epsin-1-like,yellow
107283086,O-acetyl-ADP-ribose deacetylase MACROD2-like,black
107283087,myosin-10-like,red
107283088,D site of albumin promoter (albumin D-box) binding protein,turquoise
107283089,ribosomal protein L18,saddlebrown
107283090,carbonic anhydrase-related protein 11-like,pink
107283092,ubiquitin conjugating enzyme E2S,lightcyan
107283093,visinin-like,turquoise
107283094,pre-mRNA processing factor 31,lightcyan
107283095,CCR4-NOT transcription complex subunit 3-like,turquoise
107283096,transmembrane protein 143-like,blue
107283097,ethanolamine-phosphate phospho-lyase,turquoise
107283098,C1D nuclear receptor corepressor,purple
107283099,isochorismatase domain containing 2,turquoise
107283100,sphingosine kinase 2,lightcyan
107283101,Ras interacting protein 1,green
107283102,C-Jun-amino-terminal kinase-interacting protein 3-like,yellow
107283103,transmembrane protein 238,turquoise
107283105,ribosomal protein L28,saddlebrown
107283106,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3-like,saddlebrown
107283107,TCF3 fusion partner-like,darkorange
107283108,leukocyte receptor cluster (LRC) member 1,lightcyan
107283111,ER lumen protein-retaining receptor 1-like,tan
107283112,epithelial membrane protein 3-like,tan
107283113,partner of NOB1 homolog,salmon
107283114,centrosomal protein 290kDa,green
107283115,chromosome unknown open reading frame human C12orf29,turquoise
107283116,chromosome unknown open reading frame human C12orf50,turquoise
107283117,transmembrane and tetratricopeptide repeat containing 3,brown
107283118,KIT ligand,pink
107283119,ATPase plasma membrane Ca2+ transporting 1,turquoise
107283120,POC1 centriolar protein B,cyan
107283121,dual specificity phosphatase 6,brown
107283122,pleckstrin,brown
107283124,transient receptor potential cation channel subfamily M member 1,turquoise
107283125,interactor of little elongation complex ELL subunit 2,turquoise
107283126,vacuolar protein sorting 13 homolog C (S. cerevisiae),turquoise
107283127,C2 calcium-dependent domain-containing protein 4C-like,brown
107283128,lactamase beta,green
107283130,myocardial zonula adherens protein,turquoise
107283131,cingulin-like 1,turquoise
107283132,F-box protein 48,black
107283133,testis expressed 9,lightgreen
107283134,regulatory factor X7,yellow
107283136,pygopus family PHD finger 1,turquoise
107283137,RAB27A member RAS oncogene family,green
107283138,WD repeat domain 72,magenta
107283140,M-phase phosphoprotein 10,turquoise
107283141,myotubularin related protein 10,turquoise
107283142,Kruppel-like factor 13,turquoise
107283143,OTU deubiquitinase 7A,blue
107283144,glucosaminyl (N-acetyl) transferase 3 mucin type,magenta
107283145,BCL2/adenovirus E1B 19kDa interacting protein 2,red
107283146,annexin A2,blue
107283147,RAR related orphan receptor A,turquoise
107283148,tropomyosin 1 (alpha),red
107283149,aprataxin and PNKP like factor,purple
107283150,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1,darkgrey
107283151,F-box and leucine-rich repeat protein 22,red
107283152,myosin IE,brown
107283153,SAFB like transcription modulator,lightgreen
